kata_kunci,judul,url,sentiment_textblob,polarity_textblob,sentiment_vader,compound_vader,sentiment_keyword,score_keyword,sentiment_ensemble,interpretasi
Bank Central Asia,"Dolar AS Ngamuk, Bank Mulai Jual Rp 17.000",https://finance.detik.com/bursa-dan-valas/d-7859743/dolar-as-ngamuk-bank-mulai-jual-rp-17-000,Positive,0.2380952380952381,Positive,0.6597,Neutral,0,Neutral,Netral
Bank Central Asia,"Dolar AS Makin Perkasa, Bank Mulai Jual Rp 17.000",https://finance.detik.com/bursa-dan-valas/d-7859501/dolar-as-makin-perkasa-bank-mulai-jual-rp-17-000,Positive,0.2380952380952381,Positive,0.6597,Neutral,0,Neutral,Netral
Bank Central Asia,Berapa Harga Saham BBCA Hari Ini?,https://finance.detik.com/bursa-dan-valas/d-7632680/berapa-harga-saham-bbca-hari-ini,Neutral,0.0,Neutral,0.0,Negative,-5,Negative,Negatif
Bank Central Asia,"IHSG Menguat Jelang Jeda Siang, Saham Bank BUMN Jadi Top Gainers LQ45",https://finance.detik.com/bursa-dan-valas/d-7842275/ihsg-menguat-jelang-jeda-siang-saham-bank-bumn-jadi-top-gainers-lq45,Positive,0.21250000000000002,Positive,0.8271,Negative,-8,Negative,Negatif
Bank Central Asia,"Beasiswa BCA 2026 Dibuka, Kuliah Bisnis, Perbankan, dan IT Gratis",https://www.detik.com/edu/beasiswa/d-7865521/beasiswa-bca-2026-dibuka-kuliah-bisnis-perbankan-dan-it-gratis,Neutral,0.05,Neutral,0.0516,Neutral,0,Neutral,Netral
Bank Central Asia,Saham BUMN di LQ45 Ikut Ambruk Kala IHSG Terjun Bebas,https://finance.detik.com/bursa-dan-valas/d-7858691/saham-bumn-di-lq45-ikut-ambruk-kala-ihsg-terjun-bebas,Neutral,0.0,Negative,-0.5267,Negative,-40,Negative,Sangat Negatif
Bank Central Asia,Sikap Nicholas Saputra Saat Para Mahasiswa Antusias Mengabdi Untuk Desa,https://hot.detik.com/celeb/d-7963137/sikap-nicholas-saputra-saat-para-mahasiswa-antusias-mengabdi-untuk-desa,Positive,0.3190476190476191,Positive,0.9136,Positive,4,Positive,Sangat Positif
Bank Central Asia,"IHSG Anjlok ke 6.223, Dana Asing Cabut Rp 885,84 M",https://finance.detik.com/bursa-dan-valas/d-7829834/ihsg-anjlok-ke-6-223-dana-asing-cabut-rp-885-84-m,Neutral,0.0,Neutral,0.0,Negative,-12,Negative,Negatif
Bank Central Asia,"BCA Pemberi Utang Terbesar ke Sritex, Segini Nilainya",https://finance.detik.com/moneter/d-7610460/bca-pemberi-utang-terbesar-ke-sritex-segini-nilainya,Neutral,-0.004232804232804232,Neutral,0.1027,Neutral,2,Neutral,Netral
Bank Central Asia,Bos BCA Ungkap Penyebab Saham Perbankan Sempat Melemah,https://finance.detik.com/bursa-dan-valas/d-7882766/bos-bca-ungkap-penyebab-saham-perbankan-sempat-melemah,Neutral,0.0,Neutral,0.0,Negative,-9,Negative,Negatif
Bank Rakyat Indonesia,"Gelar BRImo FSTVL, Tabungan Nasabah BRI Naik Rp 26,5 Triliun!",https://finance.detik.com/moneter/d-7893282/gelar-brimo-fstvl-tabungan-nasabah-bri-naik-rp-26-5-triliun,Neutral,0.04666666666666667,Positive,0.8316,Positive,24,Positive,Sangat Positif
Bank Rakyat Indonesia,"Dua Direksi Diboyong ke BRI, Ini Respons BSI",https://finance.detik.com/moneter/d-7841652/dua-direksi-diboyong-ke-bri-ini-respons-bsi,Neutral,0.0875,Positive,0.4767,Positive,24,Positive,Positif
Bank Rakyat Indonesia,"Museum Bank Rakyat Indonesia: Lokasi, Jam Buka, Harga, Daya Tarik, dan Rute",https://www.detik.com/jateng/wisata/d-7413335/museum-bank-rakyat-indonesia-lokasi-jam-buka-harga-daya-tarik-dan-rute,Neutral,0.0,Neutral,0.0516,Neutral,-1,Neutral,Netral
Bank Rakyat Indonesia,"Aset BRI Tembus Rp 2.098 Triliun, Tumbuh 5,49%",https://finance.detik.com/moneter/d-7892556/aset-bri-tembus-rp-2-098-triliun-tumbuh-5-49,Neutral,0.0,Positive,0.4215,Positive,31,Positive,Positif
Bank Rakyat Indonesia,5 Bank Tertua di Indonesia yang Masih Berdiri,https://finance.detik.com/moneter/d-7581185/5-bank-tertua-di-indonesia-yang-masih-berdiri,Neutral,-0.023809523809523808,Negative,-0.2263,Positive,3,Positive,Positif
Bank Rakyat Indonesia,Tarik Tunai Tanpa Kartu bakal Bisa hingga ke Bank Digital dan BPD,https://finance.detik.com/moneter/d-7692992/tarik-tunai-tanpa-kartu-bakal-bisa-hingga-ke-bank-digital-dan-bpd,Neutral,0.0,Neutral,0.1027,Neutral,0,Neutral,Netral
Bank Rakyat Indonesia,"Manfaatkan AI, BRI Tegaskan Peran Manusia Tak Tergantikan",https://finance.detik.com/berita-ekonomi-bisnis/d-7681756/manfaatkan-ai-bri-tegaskan-peran-manusia-tak-tergantikan,Neutral,0.0,Positive,0.8658,Positive,8,Positive,Sangat Positif
Bank Rakyat Indonesia,Pengguna BRIZZI Tembus 24 Juta Orang di November 2024,https://finance.detik.com/berita-ekonomi-bisnis/d-7678690/pengguna-brizzi-tembus-24-juta-orang-di-november-2024,Neutral,0.07500000000000001,Negative,-0.5719,Positive,5,Positive,Positif
Bank Rakyat Indonesia,Tren Penurunan Saham BBRI: Sekadar Koreksi atau Sinyal Bahaya?,https://finance.detik.com/bursa-dan-valas/d-7878383/tren-penurunan-saham-bbri-sekadar-koreksi-atau-sinyal-bahaya,Neutral,0.075,Positive,0.296,Negative,-13,Negative,Negatif
Bank Rakyat Indonesia,"Investor Asing Ramai-ramai Lepas Saham Bank BUMN, Begini Datanya",https://finance.detik.com/bursa-dan-valas/d-7880719/investor-asing-ramai-ramai-lepas-saham-bank-bumn-begini-datanya,Neutral,0.0,Neutral,0.0,Neutral,-1,Neutral,Netral
Bank Rakyat Indonesia,"Cuan! BRI Cetak Laba Rp 45,36 T di Kuartal III-2024",https://finance.detik.com/bursa-dan-valas/d-7613263/cuan-bri-cetak-laba-rp-45-36-t-di-kuartal-iii-2024,Neutral,0.0,Neutral,0.1027,Positive,35,Positive,Positif
Bank Rakyat Indonesia,BP Danantara Panggil Bos Telkom dan BRI Hari Ini,https://finance.detik.com/berita-ekonomi-bisnis/d-7645723/bp-danantara-panggil-bos-telkom-dan-bri-hari-ini,Neutral,0.0,Positive,0.8591,Positive,7,Positive,Sangat Positif
Bank Rakyat Indonesia,Begini Cara BRI Perkuat Skor ESG,https://finance.detik.com/ekonomi-hijau/d-7537607/begini-cara-bri-perkuat-skor-esg,Neutral,0.09666666666666666,Negative,-0.4939,Positive,5,Positive,Positif
Bank Rakyat Indonesia,Strategi BRI Dukung Ekonomi Lewat Pembiayaan Berkelanjutan,https://finance.detik.com/ekonomi-hijau/d-7466809/strategi-bri-dukung-ekonomi-lewat-pembiayaan-berkelanjutan,Neutral,-0.10000000000000002,Negative,-0.296,Neutral,0,Neutral,Netral
Bank Rakyat Indonesia,Bos BRI Ungkap Kriteria Hapus Tagih Utang UMKM,https://finance.detik.com/moneter/d-7636846/bos-bri-ungkap-kriteria-hapus-tagih-utang-umkm,Neutral,-0.1,Neutral,0.0,Neutral,-2,Neutral,Netral
Bank Rakyat Indonesia,"Tantangan Pembiayaan Berkelanjutan di RI, Proyek Ramah Lingkungan Masih Langka",https://finance.detik.com/ekonomi-hijau/d-7537461/tantangan-pembiayaan-berkelanjutan-di-ri-proyek-ramah-lingkungan-masih-langka,Negative,-0.20000000000000004,Neutral,0.0,Negative,-3,Negative,Negatif
Bank Rakyat Indonesia,Bukan Main! Kredit Sektor UMKM BRI Tembus Rp 1.095 Triliun,https://finance.detik.com/moneter/d-7456389/bukan-main-kredit-sektor-umkm-bri-tembus-rp-1-095-triliun,Neutral,0.08333333333333333,Positive,0.6486,Positive,11,Positive,Sangat Positif
Bank Rakyat Indonesia,"BRI Konsisten Salurkan FLPP, Dukung Akses Hunian Terjangkau untuk Warga",https://www.detik.com/properti/berita/d-7983900/bri-konsisten-salurkan-flpp-dukung-akses-hunian-terjangkau-untuk-warga,Neutral,0.0,Neutral,0.0,Positive,8,Positive,Positif
Bank Rakyat Indonesia,"BRI Borong 11 Penghargaan Finance Asia, Sunarso Jadi The Best CEO",https://finance.detik.com/moneter/d-7412189/bri-borong-11-penghargaan-finance-asia-sunarso-jadi-the-best-ceo,Positive,0.5274149659863946,Positive,0.9981,Positive,12,Positive,Sangat Positif
Bank Rakyat Indonesia,"BRI Usung Teknologi AI di Layanannya, Banyak yang Sudah Rilis",https://inet.detik.com/cyberlife/d-7407993/bri-usung-teknologi-ai-di-layanannya-banyak-yang-sudah-rilis,Neutral,0.049999999999999996,Positive,0.3818,Positive,4,Positive,Positif
Chandra Asri Pacific,Chandra Asri Group Raih Pinjaman Sindikasi Berkelanjutan US$ 800 Juta,https://finance.detik.com/berita-ekonomi-bisnis/d-7463425/chandra-asri-group-raih-pinjaman-sindikasi-berkelanjutan-us-800-juta,Neutral,-0.027551020408163263,Negative,-0.4215,Positive,7,Positive,Positif
Chandra Asri Pacific,Danantara & Chandra Asri Jajaki Kerja Sama Garap Proyek Rp 13 T,https://finance.detik.com/infrastruktur/d-7968009/danantara-chandra-asri-jajaki-kerja-sama-garap-proyek-rp-13-t,Neutral,0.0,Neutral,0.0772,Positive,19,Positive,Positif
Chandra Asri Pacific,Upaya Chandra Asri Group Dorong Kesejahteraan Masyarakat,https://news.detik.com/berita/d-7896964/upaya-chandra-asri-group-dorong-kesejahteraan-masyarakat,Neutral,0.05,Neutral,0.128,Positive,14,Positive,Positif
Chandra Asri Pacific,Chandra Asri Ungkap Kronologi Sekelompok Orang Datangi Proyek di Cilegon,https://finance.detik.com/berita-ekonomi-bisnis/d-7917388/chandra-asri-ungkap-kronologi-sekelompok-orang-datangi-proyek-di-cilegon,Neutral,0.19,Positive,0.5267,Negative,-3,Negative,Negatif
Chandra Asri Pacific,Chandra Asri Group Daftarkan 200 Mahasiswa Ikuti Pelatihan Komcad,https://news.detik.com/berita/d-7906392/chandra-asri-group-daftarkan-200-mahasiswa-ikuti-pelatihan-komcad,Neutral,0.0,Neutral,0.0,Positive,13,Positive,Positif
Chandra Asri Pacific,"28 Perusahaan Antre Masuk Bursa, Ada Anak Usaha Chandra Asri",https://finance.detik.com/bursa-dan-valas/d-7958242/28-perusahaan-antre-masuk-bursa-ada-anak-usaha-chandra-asri,Neutral,0.0,Neutral,0.0,Neutral,0,Neutral,Netral
Chandra Asri Pacific,"Ditopang Kas US$ 1,2 M, Chandra Asri Catat Likuiditas Kokoh hingga Q3 2024",https://finance.detik.com/berita-ekonomi-bisnis/d-7616427/ditopang-kas-us-1-2-m-chandra-asri-catat-likuiditas-kokoh-hingga-q3-2024,Neutral,0.044444444444444446,Positive,0.5719,Positive,58,Positive,Sangat Positif
Chandra Asri Pacific,"3 Perusahaan Jumbo Bakal IPO, Salah Satunya Emiten Prajogo Pangestu",https://finance.detik.com/bursa-dan-valas/d-7978863/3-perusahaan-jumbo-bakal-ipo-salah-satunya-emiten-prajogo-pangestu,Neutral,0.0,Neutral,0.0,Neutral,2,Neutral,Netral
Chandra Asri Pacific,"Chandra Asri Group Gelar Kompetisi Bisnis Mahasiswa, Berhadiah Rp 30 Juta",https://www.detik.com/edu/edutainment/d-7546375/chandra-asri-group-gelar-kompetisi-bisnis-mahasiswa-berhadiah-rp-30-juta,Neutral,-0.04,Positive,0.4588,Positive,4,Positive,Positif
Chandra Asri Pacific,Pabrik Petrokima Chandra Asri dalam Perawatan,https://finance.detik.com/industri/d-7344646/pabrik-petrokima-chandra-asri-dalam-perawatan,Neutral,0.0,Neutral,0.0,Positive,10,Positive,Positif
Chandra Asri Pacific,Chandra Asri Optimistis Bisnis Infrastruktur Topang Kinerja Perusahaan,https://finance.detik.com/infrastruktur/d-7366918/chandra-asri-optimistis-bisnis-infrastruktur-topang-kinerja-perusahaan,Neutral,0.0,Positive,0.2732,Positive,51,Positive,Positif
Chandra Asri Pacific,"Perusahaan Prajogo Pangestu Mau IPO, Incar Dana Segar Rp 2,37 T",https://finance.detik.com/bursa-dan-valas/d-7971570/perusahaan-prajogo-pangestu-mau-ipo-incar-dana-segar-rp-2-37-t,Neutral,0.0,Neutral,0.0,Positive,10,Positive,Positif
Chandra Asri Pacific,"Buntut Anak Buah Palak Proyek Rp 5 T, Anindya Kumpulkan Pimpinan Kadin Daerah",https://finance.detik.com/berita-ekonomi-bisnis/d-7929989/buntut-anak-buah-palak-proyek-rp-5-t-anindya-kumpulkan-pimpinan-kadin-daerah,Neutral,0.0,Neutral,0.0,Neutral,0,Neutral,Netral
Chandra Asri Pacific,Nilai Ekspor Industri Kimia RI Sentuh Rp 284 T di Tahun 2024,https://finance.detik.com/industri/d-7825908/nilai-ekspor-industri-kimia-ri-sentuh-rp-284-t-di-tahun-2024,Neutral,0.0,Neutral,0.0772,Positive,19,Positive,Positif
Chandra Asri Pacific,"Perusahaan Respons Aksi Ormas di Kawasan Industri, Minta Kepastian Hukum",https://finance.detik.com/berita-ekonomi-bisnis/d-7824140/perusahaan-respons-aksi-ormas-di-kawasan-industri-minta-kepastian-hukum,Neutral,0.2,Positive,0.34,Positive,9,Positive,Positif
Chandra Asri Pacific,Anindya Nonaktifkan Pengurus Kadin Cilegon yang Minta Jatah Proyek Rp 5 T,https://finance.detik.com/berita-ekonomi-bisnis/d-7918327/anindya-nonaktifkan-pengurus-kadin-cilegon-yang-minta-jatah-proyek-rp-5-t,Neutral,0.0,Neutral,0.0,Neutral,0,Neutral,Netral
Chandra Asri Pacific,Modus Oplos BBM,https://finance.detik.com/energi/d-7800345/modus-oplos-bbm,Neutral,0.10000000000000002,Positive,0.7184,Negative,-3,Negative,Negatif
Chandra Asri Pacific,Sekda Cilegon Tinjau Pilot Project Program Makan Bergizi Gratis,https://news.detik.com/berita/d-7497462/sekda-cilegon-tinjau-pilot-project-program-makan-bergizi-gratis,Neutral,0.0,Positive,0.25,Positive,4,Positive,Positif
Chandra Asri Pacific,KPPI Selidiki Lonjakan Impor Bahan Baku Plastik,https://finance.detik.com/industri/d-7534488/kppi-selidiki-lonjakan-impor-bahan-baku-plastik,Neutral,0.0,Positive,0.6908,Negative,-35,Negative,Negatif
Chandra Asri Pacific,"Wujudkan Kota Ramah Lingkungan, Kota Deltamas Manfaatkan Aspal Plastik",https://www.detik.com/properti/berita/d-7373157/wujudkan-kota-ramah-lingkungan-kota-deltamas-manfaatkan-aspal-plastik,Neutral,-0.023966942148760332,Positive,0.4404,Neutral,0,Neutral,Netral
Barito Renewables Energy,Orang Terkaya RI Borong Saham BREN Rp 181 M,https://finance.detik.com/bursa-dan-valas/d-7571977/orang-terkaya-ri-borong-saham-bren-rp-181-m,Neutral,0.0,Positive,0.6486,Positive,10,Positive,Sangat Positif
Barito Renewables Energy,"Saham Emiten Prajogo Pengestu Rontok, Ada Apa?",https://finance.detik.com/bursa-dan-valas/d-7770916/saham-emiten-prajogo-pengestu-rontok-ada-apa,Neutral,0.09999999999999999,Neutral,-0.128,Neutral,-2,Neutral,Netral
Barito Renewables Energy,"IHSG Lagi Obral Gede-gedean, Bagusnya Beli Saham Apa?",https://finance.detik.com/bursa-dan-valas/d-7771632/ihsg-lagi-obral-gede-gedean-bagusnya-beli-saham-apa,Neutral,0.1125,Positive,0.6249,Negative,-8,Negative,Negatif
Barito Renewables Energy,5 Konglomerat yang Ikut Bangun 3 Juta Rumah,https://www.detik.com/properti/berita/d-7613430/5-konglomerat-yang-ikut-bangun-3-juta-rumah,Positive,0.32,Positive,0.9432,Neutral,2,Neutral,Netral
Barito Renewables Energy,"BNI Danai Akuisisi PLTB Sidrap Rp 1,6 Triliun",https://finance.detik.com/energi/d-7320866/bni-danai-akuisisi-pltb-sidrap-rp-1-6-triliun,Neutral,-0.013265306122448976,Positive,0.836,Positive,7,Positive,Sangat Positif
Barito Renewables Energy,IHSG Sentuh Rekor Baru Usai Jokowi Reshuffle Kabinet,https://finance.detik.com/bursa-dan-valas/d-7498065/ihsg-sentuh-rekor-baru-usai-jokowi-reshuffle-kabinet,Neutral,0.16,Positive,0.6124,Neutral,2,Neutral,Netral
Barito Renewables Energy,BREN dan MSTI Masuk Indeks Global FTSE,https://finance.detik.com/bursa-dan-valas/d-7359331/bren-dan-msti-masuk-indeks-global-ftse,Neutral,-0.003246753246753248,Positive,0.4939,Positive,3,Positive,Positif
Barito Renewables Energy,"Prajogo Pangestu Jadi Orang Terkaya ke-27 di Dunia, Hartanya Rp 1.000 T",https://finance.detik.com/berita-ekonomi-bisnis/d-7336744/prajogo-pangestu-jadi-orang-terkaya-ke-27-di-dunia-hartanya-rp-1-000-t,Neutral,0.02500000000000001,Positive,0.4404,Positive,12,Positive,Positif
Barito Renewables Energy,3 Orang RI Ini Punya Harta Lebih Banyak dari Jack Ma,https://finance.detik.com/berita-ekonomi-bisnis/d-7288347/3-orang-ri-ini-punya-harta-lebih-banyak-dari-jack-ma,Neutral,0.07272727272727274,Negative,-0.2732,Positive,6,Positive,Positif
Barito Renewables Energy,Ini Dia 3 Orang Indonesia yang Lebih Kaya dari Jack Ma,https://finance.detik.com/berita-ekonomi-bisnis/d-7286958/ini-dia-3-orang-indonesia-yang-lebih-kaya-dari-jack-ma,Neutral,0.07272727272727274,Negative,-0.2732,Positive,6,Positive,Positif
Barito Renewables Energy,Harta Kekayaan Jack Ma Kalah Sama 3 Orang Indonesia Ini,https://finance.detik.com/berita-ekonomi-bisnis/d-7285546/harta-kekayaan-jack-ma-kalah-sama-3-orang-indonesia-ini,Neutral,0.06666666666666667,Negative,-0.4939,Positive,6,Positive,Positif
Barito Renewables Energy,"Sinyal Percaya, Patrick Walujo Beli Saham GOTO Total Rp 26 M",https://finance.detik.com/bursa-dan-valas/d-7406569/sinyal-percaya-patrick-walujo-beli-saham-goto-total-rp-26-m,Neutral,0.0,Negative,-0.2732,Positive,13,Positive,Positif
Barito Renewables Energy,Emiten Prajogo Pangestu Caplok 3 Aset Pembangkit 'Kebun Angin' RI,https://finance.detik.com/bursa-dan-valas/d-7124030/emiten-prajogo-pangestu-caplok-3-aset-pembangkit-kebun-angin-ri,Neutral,-0.05357142857142857,Positive,0.1531,Neutral,2,Neutral,Netral
Barito Renewables Energy,"Harta Tembus Rp 855 Triliun, Prajogo Pangestu Jadi Orang Terkaya di RI",https://finance.detik.com/berita-ekonomi-bisnis/d-7125741/harta-tembus-rp-855-triliun-prajogo-pangestu-jadi-orang-terkaya-di-ri,Neutral,0.0,Positive,0.2732,Positive,13,Positive,Positif
Barito Renewables Energy,"Prajogo Pangestu Jadi Orang Terkaya ke-24 Dunia, Hartanya Tembus Rp 859 T",https://finance.detik.com/berita-ekonomi-bisnis/d-7124751/prajogo-pangestu-jadi-orang-terkaya-ke-24-dunia-hartanya-tembus-rp-859-t,Neutral,0.1,Positive,0.6486,Positive,12,Positive,Sangat Positif
Barito Renewables Energy,Prajogo Pangestu Ini Jadi Orang RI Pertama yang Berharta Rp 752 T!,https://finance.detik.com/berita-ekonomi-bisnis/d-7080292/prajogo-pangestu-ini-jadi-orang-ri-pertama-yang-berharta-rp-752-t,Neutral,0.0,Positive,0.4939,Positive,3,Positive,Positif
Barito Renewables Energy,"Daftar 5 Orang Terkaya Indonesia, Konglomerat Batu Bara Geser Bos Djarum",https://finance.detik.com/berita-ekonomi-bisnis/d-7151380/daftar-5-orang-terkaya-indonesia-konglomerat-batu-bara-geser-bos-djarum,Neutral,0.0,Negative,-0.2732,Neutral,2,Neutral,Netral
Barito Renewables Energy,Prajogo Pangestu Jadi Orang RI Pertama yang Hartanya Tembus Rp 700 T,https://finance.detik.com/berita-ekonomi-bisnis/d-7071487/prajogo-pangestu-jadi-orang-ri-pertama-yang-hartanya-tembus-rp-700-t,Neutral,0.13636363636363635,Positive,0.6486,Positive,6,Positive,Sangat Positif
Barito Renewables Energy,"Jadi Sorotan Internasional, Turnamen Golf Tingkat ASEAN Sukses Digelar",https://www.detik.com/jabar/jabar-gaskeun/d-7332103/jadi-sorotan-internasional-turnamen-golf-tingkat-asean-sukses-digelar,Neutral,0.2,Positive,0.6249,Positive,24,Positive,Sangat Positif
Barito Renewables Energy,"Kekayaan Anjlok, Prajogo Pangestu Kehilangan Rp 177 T dalam Sehari",https://finance.detik.com/berita-ekonomi-bisnis/d-7136524/kekayaan-anjlok-prajogo-pangestu-kehilangan-rp-177-t-dalam-sehari,Neutral,0.0,Positive,0.2732,Negative,-9,Negative,Negatif
Bank Mandiri,Bank BUMN Kasih Pelatihan buat Pengurus Kopdes Merah Putih,https://finance.detik.com/moneter/d-7981373/bank-bumn-kasih-pelatihan-buat-pengurus-kopdes-merah-putih,Neutral,0.0,Positive,0.9022,Positive,10,Positive,Sangat Positif
Bank Mandiri,OJK soal BSI Spin Off dari Bank Mandiri: Sedang Proses,https://finance.detik.com/moneter/d-7984200/ojk-soal-bsi-spin-off-dari-bank-mandiri-sedang-proses,Neutral,0.09999999999999999,Positive,0.3818,Neutral,0,Neutral,Netral
Bank Mandiri,"Segera Buka Rekening Himbara untuk Pencairan BSU Rp 600 Ribu, Ini Caranya",https://www.detik.com/sumut/berita/d-7980840/segera-buka-rekening-himbara-untuk-pencairan-bsu-rp-600-ribu-ini-caranya,Neutral,0.0,Neutral,0.0,Positive,4,Positive,Positif
Bank Mandiri,Bank Mandiri Awali 2025 dengan Pertumbuhan Sehat dan Berkelanjutan,https://finance.detik.com/berita-ekonomi-bisnis/d-7895106/bank-mandiri-awali-2025-dengan-pertumbuhan-sehat-dan-berkelanjutan,Neutral,0.0,Positive,0.6908,Positive,82,Positive,Sangat Positif
Bank Mandiri,"Bank Mandiri Pindahkan Sementara Kantor Pusat, Ini Alamatnya",https://finance.detik.com/moneter/d-7932707/bank-mandiri-pindahkan-sementara-kantor-pusat-ini-alamatnya,Neutral,0.0,Negative,-0.296,Neutral,1,Neutral,Netral
Bank Mandiri,Top! Bank Mandiri Sabet Tiga Penghargaan Global Bergengsi,https://finance.detik.com/berita-ekonomi-bisnis/d-7839000/top-bank-mandiri-sabet-tiga-penghargaan-global-bergengsi,Positive,0.20588235294117646,Positive,0.9862,Positive,45,Positive,Sangat Positif
Bank Mandiri,Bank Mandiri Borong Penghargaan Bergengsi di Ajang The Asian Banker,https://finance.detik.com/berita-ekonomi-bisnis/d-7931438/bank-mandiri-borong-penghargaan-bergengsi-di-ajang-the-asian-banker,Neutral,0.09420289855072463,Positive,0.9217,Positive,46,Positive,Sangat Positif
Bank Mandiri,Strategi Bank Mandiri Perkuat Kebijakan Pembiayaan & Produk Berkelanjutan,https://finance.detik.com/moneter/d-7817337/strategi-bank-mandiri-perkuat-kebijakan-pembiayaan-produk-berkelanjutan,Neutral,0.024999999999999994,Positive,0.8979,Positive,16,Positive,Sangat Positif
Bank Mandiri,"Bank Mandiri Tebar Dividen Rp 43,51 T",https://finance.detik.com/bursa-dan-valas/d-7841367/bank-mandiri-tebar-dividen-rp-43-51-t,Neutral,0.0,Positive,0.3612,Positive,30,Positive,Positif
Bank Mandiri,Direksi Bank Mandiri Bakal Dirombak Hari Ini,https://finance.detik.com/bursa-dan-valas/d-7840633/direksi-bank-mandiri-bakal-dirombak-hari-ini,Neutral,0.0,Neutral,0.0,Neutral,2,Neutral,Netral
Bank Mandiri,"Sederet Promo Ramadan Bank Mandiri, #RaihKetenangan di Bulan Suci",https://finance.detik.com/moneter/d-7810572/sederet-promo-ramadan-bank-mandiri-raihketenangan-di-bulan-suci,Neutral,0.16666666666666666,Positive,0.9825,Neutral,1,Neutral,Netral
Bank Mandiri,Bank Mandiri Percepat Sinergi Bisnis dengan Kopra Supplier Financing,https://finance.detik.com/moneter/d-7861744/bank-mandiri-percepat-sinergi-bisnis-dengan-kopra-supplier-financing,Neutral,0.0,Positive,0.6705,Positive,58,Positive,Sangat Positif
Bank Mandiri,"Akselerasi Perluasan Inklusi Keuangan, Transaksi Digital Bank Mandiri Meningkat",https://finance.detik.com/moneter/d-7897983/akselerasi-perluasan-inklusi-keuangan-transaksi-digital-bank-mandiri-meningkat,Neutral,0.0,Positive,0.4588,Positive,82,Positive,Positif
Bank Mandiri,"Tingkatkan Kualitas Pegawai, Bank Mandiri Penuhi Dua Standar Internasional",https://finance.detik.com/berita-ekonomi-bisnis/d-7777975/tingkatkan-kualitas-pegawai-bank-mandiri-penuhi-dua-standar-internasional,Neutral,0.05555555555555555,Positive,0.1531,Positive,35,Positive,Positif
Bank Mandiri,"Bank Mandiri Gelar Program Mudik Gratis 2025, Diikuti 8.500 Pemudik",https://news.detik.com/berita/d-7846489/bank-mandiri-gelar-program-mudik-gratis-2025-diikuti-8-500-pemudik,Neutral,0.0,Positive,0.2023,Positive,5,Positive,Positif
